artista,genero_musical,tipo,nombre,año_lanzamiento,id
Daniel Huen,reggaeton,cancion,Mañana (Edición Especial),2010,1viiPtaH9lAafpBo34CJLJ
Chriss Romel,reggaeton,cancion,La misión,2010,6GyJnaiUE1YmVmjIwzEmZO
Nova,reggaeton,cancion,Instead Of Silence (Album Version),2010,3bYWDjlbEXshs7wQn4mDxv
Daniel Huen,reggaeton,cancion,Pero No,2010,4ZpwKBlSuathG7w3gDmT2V
Daniel Huen,reggaeton,cancion,En Mi Boca,2010,6aBHL8N6gvat38RJhLFoLa
Soly,reggaeton,cancion,Fiesta de gala (feat. John John),2010,3LxneUNePYCgRK4G1OyMmq
Nova,reggaeton,cancion,Sleepless (Album Version),2010,7tl4GRV1xUtKpv3sq7zpZu
Chriss Romel,reggaeton,cancion,Las amo,2010,0lYAjBQXHGSH8jOTPth0U4
Chriss Romel,reggaeton,cancion,El combo de la calle,2010,41xTPBdhB9QfVdCRij9LDI
Endo y Lele,reggaeton,cancion,Ella Se Solto,2010,7n4GwjMvDCNgtUEkFAAcyV
Hector & Tito,reggaeton,cancion,Donde Estan,2010,1FmDHfYEyB1BwmcZC3uw4R
Daniel Huen,reggaeton,cancion,Testamento (Edición Especial),2010,7LR2QaDdgeS3oy6CEVTkXm
Daniel Huen,reggaeton,cancion,Inevitable (Edición Especial),2010,0SKbD4QGFl8bMtEEWYJA58
Almighty,reggaeton,cancion,"One Love (Almighty 12"" Anthem Mix)",2010,239QC73x29OwDfUIv6xGCq
Nova,reggaeton,cancion,Hunted - Jay M Radio Edit,2010,7Mol0pFtpSXu5ijbDzCNfW
Andy Boy,reggaeton,cancion,Automatica,2010,72gMrvskkWnXgeqglNuUwG
Chriss Romel,reggaeton,cancion,Pasame el microfono,2010,5cQpgxbPkoJj5N371O6zRS
Daniel Huen,reggaeton,cancion,Típico,2010,17HTgPQiEaz3tE7IAOaOo1
Chriss Romel,reggaeton,cancion,Derrota tu gigante,2010,5R7MaOJIvf0byWqix7uq2d
Nova,reggaeton,cancion,Hunted - Radio Mix,2010,41jmceLzPjlc2nGa3RVy7x
Nova,reggaeton,cancion,One Step (,2010,3WEHYsbDQwxrg57TuCGmli
Daniel Huen,reggaeton,cancion,En Mi Boca (Edición Especial),2010,5rfCy5r6CwdDKELy6ybX6j
Chriss Romel,reggaeton,cancion,Quien me abraza,2010,4jCa6x4Gc0Q9XsN4Pt4cBF
Soly,reggaeton,cancion,Intro,2010,0zd1fRgEW4CLR4abbPR8Wt
Alexander DJ,reggaeton,cancion,Por Que Te Amo,2010,22Cs12PLH6cQLvxS7jGwl9
Nova,reggaeton,cancion,Cloudy Skies (Album Version),2010,4bgqX2i5HGNzQA3ttHbb65
Daniel Huen,reggaeton,cancion,El Pregonero,2010,2v3ewrlbON238fT4D8nUH0
Sniper SP,reggaeton,cancion,Money & Respect,2010,1yyWACk8t6IYHzqqeRZxSn
Chriss Romel,reggaeton,cancion,La fiera,2010,13SJMJRqXe3J6xn6iiQaoO
Chriss Romel,reggaeton,cancion,Siento,2010,3kMnWoIZ8rV3xncM5TEcuf
Soly,reggaeton,cancion,Candelero (feat. John John & El Fredo),2010,6echu7Pyoatt68iZJsg6B2
Chriss Romel,reggaeton,cancion,Comienza el party,2010,7zkRVH04zxtzrKYX2fHrhe
Daniel Huen,reggaeton,cancion,Mañana,2010,0cYia9aBnyKy8YgjBoF4XU
Chriss Romel,reggaeton,cancion,Vive,2010,6nFn6wi0XQZEQgKMX9aoBP
Daniel Huen,reggaeton,cancion,Testamento,2010,3RI3QcWeJZbXTMg7nXBQUE
Chriss Romel,reggaeton,cancion,Por Fe,2010,2TwbZxOZPMNHu7Ue9Uetf0
Daniel Huen,reggaeton,cancion,Típico,2010,77sx73jZbczJP8EgTTxj6D
Sniper SP,reggaeton,cancion,Apaguen las Camaras,2010,3X1OoSyal9nM2sLkTKpXZY
Soly,reggaeton,cancion,Dios es el primero (feat. Ricky),2010,107nRyZovYK6LOsrJaHM9f
Chriss Romel,reggaeton,cancion,De su mano me lleva,2010,6hpdN4whSy9zvHfROyrqIC
Chriss Romel,reggaeton,cancion,Fluya - Special Version,2010,3Wm5AX8pC4sHvJSbrUasTs
Soly,reggaeton,cancion,Fama,2010,5ICTMmD1ZPytnLPg6cJ3mM
Nova,reggaeton,cancion,Hunted,2010,3Rbh3g58k8p386thevpJLM
Chriss Romel,reggaeton,cancion,Soy,2010,32hYVqaJdbVzXmTSqnYXFt
Daniel Huen,reggaeton,cancion,Inevitable,2010,6E2qbDaGD0n9hboXFGCnxD
Chriss Romel,reggaeton,cancion,Mi Ruego,2010,30wxk1kRIubQs7vd9mhSnX
Chriss Romel,reggaeton,cancion,Intro,2010,5m89AiqLidVMJZeMzhnOa1
Daniel Huen,reggaeton,cancion,Silencio En Mi Partitura,2010,1ukSMZcnqSnxOrFKWnVigJ
Soly,reggaeton,cancion,Good is good (feat. Willow),2010,7g3oB2QNcSxGm1S8fDxOAf
Endo y Lele,reggaeton,cancion,Maltrato,2010,2QPQlE9L4Wnx9K6L0TnbuY
Daniel Huen,reggaeton,cancion,Silencio En Mi Partitura,2010,6THwz9jBsE9wJKtlTb90OE
Chriss Romel,reggaeton,cancion,Cuando pienso,2010,2tm3iXcPEAdL56xGbyf3y9
Doble D,reggaeton,cancion,Porque Llamarle Conflicto,2010,4nvWLq7KC0TJzDgSSC4R03
Chriss Romel,reggaeton,cancion,Dejalos que intenten,2010,3AY91Jvr7IYBmRkGPucgnA
Playero,reggaeton,cancion,Tropic Beat,2010,05MUK6MiKrmsK0lEjrOwOT
Wambo,reggaeton,cancion,In My Mind,2011,6RQbxmNmLpIlQRQXJj1Zsn
Wambo,reggaeton,cancion,Down,2011,0SygCKafiagBpS7y2GGGGr
Domy,reggaeton,cancion,Like a Butterfly - Original Track,2011,4JJaQpAyhB51Spn66DziBx
M.J.,reggaeton,cancion,Suéltate,2011,4CnvdVvxCEJYX3I11GKMxD
Wambo,reggaeton,cancion,Too Easy,2011,5NOCXaX6oPIgRA1Jr67Mcc
Renny,reggaeton,cancion,NO CUENTES CONMIGO,2011,6Sp15LPuLWzILj7ZX0ASll
Algenis,reggaeton,cancion,COMO SI MATARAN INTRO,2011,3WyLzze9BeGmL9qId0yKhc
Algenis,reggaeton,cancion,SALGO PA LA CALLE,2011,5fzwSUngvywUPvbUvtVVMl
Tecupae,reggaeton,cancion,Sueño Contigo (with Cabas),2011,4pl9Zs0VlFfK7jzoGf8LvG
Wambo,reggaeton,cancion,Polish Up The Game,2011,7aJB5NrMQHT1tmpqGVfnsj
Jaydan,reggaeton,cancion,Es Navidad,2011,1P3fw9Bm5gkEwqcvhpijkx
Doble D,reggaeton,cancion,No Puedo Más,2011,4DQYn0cX05ok70EJ7tq0hr
Polaco,reggaeton,cancion,Ella quiere que le den (feat. Yuni),2011,5Y6CpeuiZj0N7BCIetR56f
Renny,reggaeton,cancion,MIENTEME,2011,6eFTpt3xXY697UFHU0dw7q
Jay y el Punto,reggaeton,cancion,Sin Luz,2011,00H0gvKNLYj60LE1ZwASyi
Andy Boy,reggaeton,cancion,Mami No Te Hagas,2011,3ItML9iPpoEMZbickMANyw
Wambo,reggaeton,cancion,The Juice,2011,3mUKbxDqeIwM659QMlopwW
Wambo,reggaeton,cancion,Way Back,2011,7BmbvtJpXCUvXClp9IJ0Jq
Wambo,reggaeton,cancion,Want It All,2011,4GAc19Ugw6sTPsWlMKPzu8
Alexander DJ,reggaeton,cancion,Ninfómana,2011,7zrnhqsr8XHHDqnmfMJy8L
Renny,reggaeton,cancion,GIRANDO EL MUNDO,2011,2KYLLToW6AWCtyAtgnRVBz
Jiggy Drama,reggaeton,cancion,Killa dancer - Remix,2011,0pfz34LVTCvbvYq0QWvnKJ
Wambo,reggaeton,cancion,Don't Come Outside,2011,72pWlVs5F5h79fKoLCFXUU
Alexander DJ,reggaeton,cancion,El Jueguito,2011,06yrqDlIiYK6kRw5jXNQDB
Andy Boy,reggaeton,cancion,La Disco Te Llama,2011,4cLjC6gbDQuyX18RMtZ2Bx
Jiggy Drama,reggaeton,cancion,Me Vale - Dancehall Remix,2011,2y2cTT9qUY45Uwtey2bJME
Andy Boy,reggaeton,cancion,Mami No Te Hagas,2011,27KUqRZciXEqvkTcvu2KTd
Wambo,reggaeton,cancion,Greenhouse Effect,2011,2TfjxaJbJm63wuvr9Nnxcs
Wambo,reggaeton,cancion,Wambitions,2011,7EU2zWqjuvjx4JPenJj3mP
Renny,reggaeton,cancion,QUIERO,2011,2PbNRquV9iam8Rh0vIsaG7
Wambo,reggaeton,cancion,Lets Do This,2011,10YSOM4q7HRzYnGFqYu92n
Jiggy Drama,reggaeton,cancion,Me Vale - Salsa Remix,2011,6t499KlZO5AhlEX7I20ytm
Jiggy Drama,reggaeton,cancion,The bomb,2011,7AijoWLHjyMhMd9zZYYxIn
Andy Boy,reggaeton,cancion,Motin,2011,5b1WH7TGufh6DcjjETncC5
Andy Boy,reggaeton,cancion,Sexo Sin Sentimientos,2011,3iwjw8n4v8peiVDK1Hox6F
Jay y el Punto,reggaeton,cancion,Give Me Your Love,2011,1aq0DLoQhc0Y07n0fvo8mV
Wambo,reggaeton,cancion,The Bridge,2011,1q8WdRFnVe1ZRwuktPk1ci
Doble D,reggaeton,cancion,Enamorate,2011,2QQL8bwfzxel31As9uZk1t
Doble D,reggaeton,cancion,Baila Mi Rumba,2011,2QIbTkW1UhCmMnguJFa8PE
Wambo,reggaeton,cancion,Man Down,2011,5Rs6uJCFsu1HyfjVz7UvTq
Renny,reggaeton,cancion,ELLA,2011,1irnbsNXwPpUM3uBKCazxG
Andy Boy,reggaeton,cancion,Estoy Pa' Ti,2011,7l0hyx1sxFOJKOQTHN3skm
Algenis,reggaeton,cancion,LA CALLE NO ESTA FACIL,2011,0Yxe1JwUFcL34f3ZLPNNPj
Doble D,reggaeton,cancion,Mi Escuela,2011,53krK8B7xOAXiV2FABk3iE
Renny,reggaeton,cancion,UNA VEZ MAS,2011,2XZEk0uwCVlVwxeKRW0eGj
Algenis,reggaeton,cancion,TE COGI MIRANDOME,2011,0XY1HAZ9ZNiks16j0dwmdo
Wambo,reggaeton,cancion,More,2011,51FlKIBea7VFqHCeRa84rr
Toby Love,reggaeton,cancion,Como Te Amo,2011,0oVRttNb8VPFZ76OxLYMDQ
Algenis,reggaeton,cancion,THE OTHER FACE,2011,333n2nnhejDIhhxuhqTcOv
Soly,reggaeton,cancion,Enthe Nee - Female Vocals,2011,47aYOSVqCV2eSoYCbdEPPi
Doble D,reggaeton,cancion,Baila Mi Rumba,2011,2QIbTkW1UhCmMnguJFa8PE
Wambo,reggaeton,cancion,Greenhouse Effect,2011,2TfjxaJbJm63wuvr9Nnxcs
Algenis,reggaeton,cancion,THE OTHER FACE,2011,333n2nnhejDIhhxuhqTcOv
Jiggy Drama,reggaeton,cancion,Me Vale - Downbeat Remix,2011,7I6WOyszYIynBusnBRq8P3
Jay y el Punto,reggaeton,cancion,Voltaje,2011,772Um3rxrGdakIOBtwKMwo
Doble D,reggaeton,cancion,Mi Sonido,2011,6gndB8huNJbHHRQPVQAVkQ
Alexander DJ,reggaeton,cancion,El Jueguito,2011,06yrqDlIiYK6kRw5jXNQDB
Andy Boy,reggaeton,cancion,Latigo - Cumbia Version,2011,3Yq0RUYXLgFHBXS18WwJv6
Soly,reggaeton,cancion,Enthe Nee - Female Vocals,2011,47aYOSVqCV2eSoYCbdEPPi
Jiggy Drama,reggaeton,cancion,Gang house,2011,2zjhGuqCZa8CHuqiSSE3BJ
Alexander DJ,reggaeton,cancion,Ninfómana,2011,7zrnhqsr8XHHDqnmfMJy8L
Wambo,reggaeton,cancion,Is You Down?,2011,4u8GvPlJLxoXz3C0w9mxd4
Andy Boy,reggaeton,cancion,Sexo Sin Sentimientos,2011,3iwjw8n4v8peiVDK1Hox6F
Croni-K,reggaeton,cancion,Se Que Tu Estas,2011,0wmtlibnZfOLhTRU73wsBa
Doble D,reggaeton,cancion,Mi Escuela,2011,53krK8B7xOAXiV2FABk3iE
L'Omy,reggaeton,cancion,A Mi Me Gustas Tu,2011,2jEcr0JKsqrkkjLjc4cpmL
Joey Montana,reggaeton,cancion,Si Yo Fuera El (feat. Joey Montana),2012,6o1UAX7B0JGXsamGbOAVtd
Carlitos Rossy,reggaeton,cancion,Victima del Sentimiento,2012,5a1eY2M4pE76SgGt9xQMR6
Andy Boy,reggaeton,cancion,CORAJE,2012,3RR7MlYZrqsPtnge7VW1JA
Naldo,reggaeton,cancion,Quer Mexer (Ela Quer Dançar),2012,69k7wQ3uEYVST20SSZDkcK
Don Chezina,reggaeton,cancion,Ataka (feat. Nano MC Omar Garcia Polaco Chyno Nyno Bae Jhon Eric Maicol & Manuel),2012,23jvOQhIaZuyH28q1F7jbx
Don Latino,reggaeton,cancion,Pa Ti Pa Mi,2012,4brqbCLC2ExsdHMuCCDcnf
Falo,reggaeton,cancion,Weiter Weg,2012,7wLOu7cMKIm3y0ADxcJioq
Don Latino,reggaeton,cancion,Mohada,2012,7lKF4kgETeKbw7sdIdH1PK
Falo,reggaeton,cancion,Frei Sein,2012,3KcB7TGGSuiI1l8hTNHnoA
Alexander DJ,reggaeton,cancion,Ahora Puedo Decir,2012,0ndcY2aWjSZ161PvsOAIsD
Don Chezina,reggaeton,cancion,Perreo Perreo,2012,7GsFMTfThG3YaCgWCqquum
Wibal Y Alex,reggaeton,cancion,Luz Prendia,2012,5ej2ucvkG2gZ0mfnAtD47O
Rony Bianco,reggaeton,cancion,Complemento,2012,1kRR0mlIYiW0WFgySzJRT0
Raykel,reggaeton,cancion,Respétalos,2012,5PYKPTttCajRJXwE2fT6GJ
Aran One,reggaeton,cancion,Calor,2012,2kywdJHLvMFGBxbIxoPQkD
Alberto Stylee,reggaeton,cancion,A Toa,2012,2GOlZdETJRXE5EEeeQduI6
Domy,reggaeton,cancion,Don't Even Know Me - Sello Remix,2012,7uxNGwrLiw56AY3NJudjS9
Rony Bianco,reggaeton,cancion,Quiero Party,2012,3vV9WWExKry83ZVjwAOLjY
Don Chezina,reggaeton,cancion,To Los Pirateros Demen Promo (feat. Maicol Super Star),2012,3Uqim9eTzdnGcC0SRkwgUN
Jiggy Drama,reggaeton,cancion,Home (feat. Obie-P),2012,6wPHNant00BbWMILvC11Uu
Enio La Formula,reggaeton,cancion,Con Mi Amor,2012,0hACNedOW1mQNb0xLNRQtE
Alexis y Fido,reggaeton,cancion,Gatúbela (DJ Chazal Tribal Mix),2012,2py9gqw5VqIr0TAvLkFmwA
Juan Miguel,reggaeton,cancion,Quien Te Acelera El Corazón,2012,6MH1FQpX1TD6xf540owNuR
Nova,reggaeton,cancion,Fever,2012,4sInhKI0HBTlmv5v1UBmJa
Don Chezina,reggaeton,cancion,Ya Se Acabo El Amor (feat. Daphne),2012,3urcSyKCW4WrNwqk9Kz9s2
Raykel,reggaeton,cancion,Libre,2012,6SQAGnBKB5nw9t3h0gVhv8
Nicky Jam,reggaeton,cancion,Tienen el Control,2012,5k2nyrkNJWHF6yDeMNFxEc
Wibal Y Alex,reggaeton,cancion,Pa Que Envolverme,2012,4WnhO3U7dkaXBNs7q06C7p
Rony Bianco,reggaeton,cancion,Quien Eres Tú,2012,7GTqVUzcz5AvmF4t32k3Fh
Wibal Y Alex,reggaeton,cancion,Bailando,2012,0W7rxLddDPNBOoMXthvLwc
Nova,reggaeton,cancion,Over This,2012,4x1KzjaISlmTC7VUgrOBFh
Don Latino,reggaeton,cancion,Tuku Taka,2012,6MalH1NOKSUUzp4A489VMF
Magic Juan,reggaeton,cancion,Quédate Aquí,2012,2kU19or8zomcjPfqXLwSoH
Wibal Y Alex,reggaeton,cancion,Nunca Dejes,2012,7E4YQzsf72TAaVkhLmKgnk
Alberto Stylee,reggaeton,cancion,Con Luz o Sin Luz,2012,1R8312WV7FWtdinUdQadMa
Wibal Y Alex,reggaeton,cancion,Sexo Na Mas,2012,2Jqf1o5pB5wkx9u06naPMS
Wibal Y Alex,reggaeton,cancion,Setiadora,2012,7JYhdctJql1dbNDDZwH40R
Rony Bianco,reggaeton,cancion,No Te Perdonaré (feat. Daniel Carpio),2012,0vK4d5NgQSbXzldVvETK1i
Wibal Y Alex,reggaeton,cancion,Chilleria,2012,0dlM4JvThQ0o0g47cpxsgB
Nova,reggaeton,cancion,Get It Wet,2012,1LnHdJHcW6wfgCaetyN8qf
Don Chezina,reggaeton,cancion,Bien Duro (feat. Jackie),2012,2Chng31cRGrJn8VUxHOVta
Aran One,reggaeton,cancion,Mia,2012,6uEXuC9dWyTmf60rDMy8th
Wibal Y Alex,reggaeton,cancion,Cantante Soy,2012,53bL8FfXDJLwweA6qtX8a3
Aran One,reggaeton,cancion,Ven Ven,2012,1g9hFo897vFQmxb1mPecGN
Wibal Y Alex,reggaeton,cancion,Perreo Clasico,2012,73RfgwThlArPDZjy1ct6YH
Wibal Y Alex,reggaeton,cancion,Si Supieras (Oe Oe),2012,4I6OgfGOWd8AliKpH5l6bm
Falo,reggaeton,cancion,Ich Bin Gegen Alles,2012,36ELlm3YUEv7QEUrWyYZkP
Wibal Y Alex,reggaeton,cancion,Ella Sabe,2012,10RogOUJj94e85I1bYvbtI
Don Chezina,reggaeton,cancion,Fuakity (feat. Maicol Super Star),2012,7meft3wF19XBPlnO3fMd2Q
Wibal Y Alex,reggaeton,cancion,Llego la Hora,2012,2hgGpFB3oXtJvhFgSVdSvL
Wibal Y Alex,reggaeton,cancion,Cantante Soy,2012,53bL8FfXDJLwweA6qtX8a3
Falo,reggaeton,cancion,Hoffnung,2012,6ZnY2U8Z1oedNPoZrmVuCO
Wibal Y Alex,reggaeton,cancion,Asi Es Ella,2012,5GPx50Q4zgkyfMhDXw6JSU
Don Chezina,reggaeton,cancion,Ven Aka Remix (feat. Alberto Stylee),2012,2vBICbxoqD6difsET9fq0X
Wibal Y Alex,reggaeton,cancion,Loco por Ti,2012,6eWv5ShofExrwg9Ir1BpRc
Raykel,reggaeton,cancion,Te Fuiste,2012,4tPratyMPE3ABdGqVOlDwb
Hector & Tito,reggaeton,cancion,Donde Estan,2012,3UNupnJOZypLSvcXbnmZir
Don Chezina,reggaeton,cancion,Las Tres P (feat. Jhon Jabon),2012,62oX6AvJuNCtGfxbB0pQVk
Wibal Y Alex,reggaeton,cancion,Pa Que Envolverme,2012,4WnhO3U7dkaXBNs7q06C7p
Don Chezina,reggaeton,cancion,Fuakity (feat. Maicol Super Star),2012,7meft3wF19XBPlnO3fMd2Q
Magic Juan,reggaeton,cancion,Smash Tonight - Radio Mix,2012,2CvLqCk6NRnmPFEn7KAqh8
Alexander DJ,reggaeton,cancion,No Voy A Volver,2012,07jHtN0vjH8a03ERGjtAPt
DJ Nelson,reggaeton,cancion,Brinca Mami (feat. JD),2012,1yFndkyk1S58oYajH8hozF
Rony Bianco,reggaeton,cancion,Yo Te Fallé,2012,6mWitCnR7bB7AYBcSlpkQj
Wibal Y Alex,reggaeton,cancion,Decidete Ya,2012,6JQmgbk5Xb4ew9wFXcrXyk
Wibal Y Alex,reggaeton,cancion,Sin Miedo a Morir (Remix),2012,23KQDkuNpZQIOJp3ckXVI2
Xavi The Destroyer,reggaeton,cancion,Ella Quiere Conmigo,2012,5ZxB66taucsAFC6vaT7DD5
Don Chezina,reggaeton,cancion,Punto & Aparte (feat. Mr Maniaks F2 La Liga Latina & da Play),2012,4I24Of5sCcYMQCeUzRi8qI
Aran One,reggaeton,cancion,Ven Ven,2012,1g9hFo897vFQmxb1mPecGN
Wibal Y Alex,reggaeton,cancion,Loba Lobita,2012,2JueVwhrHP00lDVEMMjmxA
Falo,reggaeton,cancion,Nochmal,2012,3lPwEqJz0RlNglOvxR5o1G
Wibal Y Alex,reggaeton,cancion,Luz Prendia,2012,5ej2ucvkG2gZ0mfnAtD47O
Don Latino,reggaeton,cancion,Pa Ti Pa Mi,2012,6qzJzHtbAIDl84A2KQoFrp
Don Chezina,reggaeton,cancion,Me Tienes Loco (feat. Los Elementales),2012,4NOfGOgTiYFLw5sJWZE5Ed
Wibal Y Alex,reggaeton,cancion,Si Supieras (Oe Oe),2012,4I6OgfGOWd8AliKpH5l6bm
Rony Bianco,reggaeton,cancion,Eres Mi Inspiración (Balada),2012,7HRBQDGtb3IfEtx3A3wodH
Andy Boy,reggaeton,cancion,La Distancia,2012,7cq80p6xmVK06w52CnxfHX
Raykel,reggaeton,cancion,Con la Mano Arriba,2012,6TCeXHctA7cXNA0GnsYVRN
Falo,reggaeton,cancion,Ich Bin Gegen Alles,2012,36ELlm3YUEv7QEUrWyYZkP
Falo,reggaeton,cancion,Frei Sein,2012,3KcB7TGGSuiI1l8hTNHnoA
Falo,reggaeton,cancion,Macho,2012,24b10tL107Qn9j8jxcnvZp
